,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
4782,University of Maryland-Baltimore County,Public,"Psychology, General.",Bachelor's Degree,56470,61641,54813
4783,University of Maryland-Baltimore County,Public,Social Work.,Bachelor's Degree,59755,57838,60744
4784,University of Maryland-Baltimore County,Public,Economics.,Bachelor's Degree,77388,75250,91969
4785,University of Maryland-Baltimore County,Public,Political Science and Government.,Bachelor's Degree,70455,71731,66529
4786,University of Maryland-Baltimore County,Public,Fine and Studio Arts.,Bachelor's Degree,46105,44218,48863
4787,University of Maryland-Baltimore County,Public,"Health Professions and Related Clinical Sciences, Other.",Bachelor's Degree,60985,52283,67224
4788,University of Maryland-College Park,Public,Natural Resources Conservation and Research.,Bachelor's Degree,65351,71424,57081
4789,University of Maryland-College Park,Public,Architecture.,Bachelor's Degree,66802,69515,66104
4790,University of Maryland-College Park,Public,Area Studies.,Bachelor's Degree,64545,77325,63005
4791,University of Maryland-College Park,Public,Communication and Media Studies.,Bachelor's Degree,75778,68874,77386
4792,University of Maryland-College Park,Public,Journalism.,Bachelor's Degree,70492,73397,69411
4793,University of Maryland-College Park,Public,"Computer and Information Sciences, General.",Bachelor's Degree,144240,143026,158107
4794,University of Maryland-College Park,Public,Information Science/Studies.,Bachelor's Degree,113785,116295,108665
4795,University of Maryland-College Park,Public,Curriculum and Instruction.,Master's Degree,67719,68541,67681
4796,University of Maryland-College Park,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,69438,84372,66965
4797,University of Maryland-College Park,Public,Agricultural Engineering.,Bachelor's Degree,106061,100830,112326
4798,University of Maryland-College Park,Public,Chemical Engineering.,Bachelor's Degree,92423,86181,105669
4799,University of Maryland-College Park,Public,Civil Engineering.,Bachelor's Degree,90438,94139,84991
4800,University of Maryland-College Park,Public,Mechanical Engineering.,Bachelor's Degree,102581,101833,110580
4801,University of Maryland-College Park,Public,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,56321,60016,56124
4802,University of Maryland-College Park,Public,"English Language and Literature, General.",Bachelor's Degree,58415,47789,63331
4803,University of Maryland-College Park,Public,Library Science and Administration.,Master's Degree,68659,72768,65350
4804,University of Maryland-College Park,Public,"Biology, General.",Bachelor's Degree,72024,71421,72062
4805,University of Maryland-College Park,Public,"Ecology, Evolution, Systematics, and Population Biology.",Bachelor's Degree,55322,57211,54450
4806,University of Maryland-College Park,Public,Mathematics.,Bachelor's Degree,101607,106300,98961
4807,University of Maryland-College Park,Public,"Multi/Interdisciplinary Studies, Other.",Master's Degree,102991,108767,93921
